Time,Entity,Frame,SF,Slot,nodeId,RNTI,bwpId,Harq,ID,K1,Delay
1.01307,DL,DCI,Rxed,101,3,0,2,4,0,15,2
1.01307,DL,DCI,Rxed,101,3,0,2,3,0,15,2
1.01307,DL,DCI,Rxed,101,3,0,2,1,0,15,2
1.01307,DL,DCI,Rxed,101,3,0,2,2,0,15,2
1.01307,DL,DCI,Rxed,101,3,0,2,5,0,15,2
1.01307,DL,DCI,Rxed,101,3,0,4,3,0,15,2
1.01307,DL,DCI,Rxed,101,3,0,4,1,0,15,2
1.01307,DL,DCI,Rxed,101,3,0,4,2,0,15,2
1.01307,DL,DCI,Rxed,101,3,0,6,5,0,15,2
1.01307,DL,DCI,Rxed,101,3,0,6,4,0,15,2
1.01307,DL,DCI,Rxed,101,3,0,6,3,0,15,2
1.01307,DL,DCI,Rxed,101,3,0,6,1,0,15,2
1.01307,DL,DCI,Rxed,101,3,0,6,2,0,15,2
1.01307,DL,DCI,Rxed,101,3,0,8,7,0,15,2
1.01307,DL,DCI,Rxed,101,3,0,8,1,0,15,2
1.01307,DL,DCI,Rxed,101,3,0,8,5,0,15,2
1.01307,DL,DCI,Rxed,101,3,0,8,4,0,15,2
1.01307,DL,DCI,Rxed,101,3,0,8,3,0,15,2
1.01307,DL,DCI,Rxed,101,3,0,8,6,0,15,2
1.01307,DL,DCI,Rxed,101,3,0,8,2,0,15,2
1.01407,DL,DCI,Rxed,101,4,0,2,4,0,14,2
1.01407,DL,DCI,Rxed,101,4,0,2,3,0,14,2
1.01407,DL,DCI,Rxed,101,4,0,2,1,0,14,2
1.01407,DL,DCI,Rxed,101,4,0,2,2,0,14,2
1.01407,DL,DCI,Rxed,101,4,0,2,5,0,14,2
1.01407,DL,DCI,Rxed,101,4,0,4,3,0,14,2
1.01407,DL,DCI,Rxed,101,4,0,4,1,0,14,2
1.01407,DL,DCI,Rxed,101,4,0,4,2,0,14,2
1.01407,DL,DCI,Rxed,101,4,0,6,5,0,14,2
1.01407,DL,DCI,Rxed,101,4,0,6,4,0,14,2
1.01407,DL,DCI,Rxed,101,4,0,6,3,0,14,2
1.01407,DL,DCI,Rxed,101,4,0,6,1,0,14,2
1.01407,DL,DCI,Rxed,101,4,0,6,2,0,14,2
1.01407,DL,DCI,Rxed,101,4,0,8,7,0,14,2
1.01407,DL,DCI,Rxed,101,4,0,8,1,0,14,2
1.01407,DL,DCI,Rxed,101,4,0,8,5,0,14,2
1.01407,DL,DCI,Rxed,101,4,0,8,4,0,14,2
1.01407,DL,DCI,Rxed,101,4,0,8,3,0,14,2
1.01407,DL,DCI,Rxed,101,4,0,8,6,0,14,2
1.01407,DL,DCI,Rxed,101,4,0,8,2,0,14,2
1.01507,DL,DCI,Rxed,101,5,0,2,4,0,13,2
1.01507,DL,DCI,Rxed,101,5,0,2,3,0,13,2
1.01507,DL,DCI,Rxed,101,5,0,2,1,0,13,2
1.01507,DL,DCI,Rxed,101,5,0,2,2,0,13,2
1.01507,DL,DCI,Rxed,101,5,0,2,5,0,13,2
1.01507,DL,DCI,Rxed,101,5,0,4,3,0,13,2
1.01507,DL,DCI,Rxed,101,5,0,4,1,0,13,2
1.01507,DL,DCI,Rxed,101,5,0,4,2,0,13,2
1.01507,DL,DCI,Rxed,101,5,0,6,5,0,13,2
1.01507,DL,DCI,Rxed,101,5,0,6,4,0,13,2
1.01507,DL,DCI,Rxed,101,5,0,6,3,0,13,2
1.01507,DL,DCI,Rxed,101,5,0,6,1,0,13,2
1.01507,DL,DCI,Rxed,101,5,0,6,2,0,13,2
1.01507,DL,DCI,Rxed,101,5,0,8,7,0,13,2
1.01507,DL,DCI,Rxed,101,5,0,8,1,0,13,2
1.01507,DL,DCI,Rxed,101,5,0,8,5,0,13,2
1.01507,DL,DCI,Rxed,101,5,0,8,4,0,13,2
1.01507,DL,DCI,Rxed,101,5,0,8,3,0,13,2
1.01507,DL,DCI,Rxed,101,5,0,8,6,0,13,2
1.01507,DL,DCI,Rxed,101,5,0,8,2,0,13,2
1.01593,HARQ,FD,Txed,101,5,0,8,7,0,15,2
1.01593,HARQ,FD,Txed,101,5,0,8,6,0,15,2
1.01593,HARQ,FD,Txed,101,5,0,6,5,0,15,2
1.01593,HARQ,FD,Txed,101,5,0,2,5,0,15,2
1.01593,HARQ,FD,Txed,101,5,0,4,3,0,15,2
1.01593,HARQ,FD,Txed,101,5,0,8,5,0,15,2
1.01593,HARQ,FD,Txed,101,5,0,6,4,0,15,2
1.01593,HARQ,FD,Txed,101,5,0,2,4,0,15,2
1.01593,HARQ,FD,Txed,101,5,0,8,4,0,15,2
1.01593,HARQ,FD,Txed,101,5,0,4,2,0,15,2
1.01593,HARQ,FD,Txed,101,5,0,2,3,0,15,2
1.01593,HARQ,FD,Txed,101,5,0,6,3,0,15,2
1.01593,HARQ,FD,Txed,101,5,0,8,3,0,15,2
1.01593,HARQ,FD,Txed,101,5,0,2,2,0,15,2
1.01593,HARQ,FD,Txed,101,5,0,8,2,0,15,2
1.01593,HARQ,FD,Txed,101,5,0,6,2,0,15,2
1.01593,HARQ,FD,Txed,101,5,0,4,1,0,15,2
1.01593,HARQ,FD,Txed,101,5,0,2,1,0,15,2
1.01593,HARQ,FD,Txed,101,5,0,8,1,0,15,2
1.01593,HARQ,FD,Txed,101,5,0,6,1,0,15,2
1.01607,DL,DCI,Rxed,101,6,0,2,4,0,12,2
1.01607,DL,DCI,Rxed,101,6,0,2,3,0,12,2
1.01607,DL,DCI,Rxed,101,6,0,2,1,0,12,2
1.01607,DL,DCI,Rxed,101,6,0,2,2,0,12,2
1.01607,DL,DCI,Rxed,101,6,0,2,5,0,12,2
1.01607,DL,DCI,Rxed,101,6,0,4,3,0,12,2
1.01607,DL,DCI,Rxed,101,6,0,4,1,0,12,2
1.01607,DL,DCI,Rxed,101,6,0,4,2,0,12,2
1.01607,DL,DCI,Rxed,101,6,0,6,5,0,12,2
1.01607,DL,DCI,Rxed,101,6,0,6,4,0,12,2
1.01607,DL,DCI,Rxed,101,6,0,6,3,0,12,2
1.01607,DL,DCI,Rxed,101,6,0,6,1,0,12,2
1.01607,DL,DCI,Rxed,101,6,0,6,2,0,12,2
1.01607,DL,DCI,Rxed,101,6,0,8,7,0,12,2
1.01607,DL,DCI,Rxed,101,6,0,8,1,0,12,2
1.01607,DL,DCI,Rxed,101,6,0,8,5,0,12,2
1.01607,DL,DCI,Rxed,101,6,0,8,4,0,12,2
1.01607,DL,DCI,Rxed,101,6,0,8,3,0,12,2
1.01607,DL,DCI,Rxed,101,6,0,8,6,0,12,2
1.01607,DL,DCI,Rxed,101,6,0,8,2,0,12,2
1.01693,HARQ,FD,Txed,101,6,0,8,7,0,14,2
1.01693,HARQ,FD,Txed,101,6,0,8,6,0,14,2
1.01693,HARQ,FD,Txed,101,6,0,6,5,0,14,2
1.01693,HARQ,FD,Txed,101,6,0,2,5,0,14,2
1.01693,HARQ,FD,Txed,101,6,0,4,3,0,14,2
1.01693,HARQ,FD,Txed,101,6,0,8,5,0,14,2
1.01693,HARQ,FD,Txed,101,6,0,6,4,0,14,2
1.01693,HARQ,FD,Txed,101,6,0,2,4,0,14,2
1.01693,HARQ,FD,Txed,101,6,0,8,4,0,14,2
1.01693,HARQ,FD,Txed,101,6,0,4,2,0,14,2
1.01693,HARQ,FD,Txed,101,6,0,2,3,0,14,2
1.01693,HARQ,FD,Txed,101,6,0,6,3,0,14,2
1.01693,HARQ,FD,Txed,101,6,0,8,3,0,14,2
1.01693,HARQ,FD,Txed,101,6,0,2,2,0,14,2
1.01693,HARQ,FD,Txed,101,6,0,8,2,0,14,2
1.01693,HARQ,FD,Txed,101,6,0,6,2,0,14,2
1.01693,HARQ,FD,Txed,101,6,0,4,1,0,14,2
1.01693,HARQ,FD,Txed,101,6,0,2,1,0,14,2
1.01693,HARQ,FD,Txed,101,6,0,8,1,0,14,2
1.01693,HARQ,FD,Txed,101,6,0,6,1,0,14,2
1.01707,DL,DCI,Rxed,101,7,0,2,4,0,11,2
1.01707,DL,DCI,Rxed,101,7,0,2,3,0,11,2
1.01707,DL,DCI,Rxed,101,7,0,2,1,0,11,2
1.01707,DL,DCI,Rxed,101,7,0,2,2,0,11,2
1.01707,DL,DCI,Rxed,101,7,0,2,5,0,11,2
1.01707,DL,DCI,Rxed,101,7,0,4,3,0,11,2
1.01707,DL,DCI,Rxed,101,7,0,4,1,0,11,2
1.01707,DL,DCI,Rxed,101,7,0,4,2,0,11,2
1.01707,DL,DCI,Rxed,101,7,0,6,5,0,11,2
1.01707,DL,DCI,Rxed,101,7,0,6,4,0,11,2
1.01707,DL,DCI,Rxed,101,7,0,6,3,0,11,2
1.01707,DL,DCI,Rxed,101,7,0,6,1,0,11,2
1.01707,DL,DCI,Rxed,101,7,0,6,2,0,11,2
1.01707,DL,DCI,Rxed,101,7,0,8,7,0,11,2
